Year,Name,Gender,Frecuency
2023,Ramiro,Male,1247
2023,Juan Andrés,Male,1239
2023,Juan Jesús,Male,1234
2023,José Daniel,Male,1223
2023,José Andrés,Male,1209
2023,Mauricio,Male,1199
2023,Beltrán,Male,1198
2023,Simón,Male,1196
2023,Marian,Male,1182
2023,Jesús Ángel,Male,1167
2023,Leandro,Male,1153
2023,Fabio,Male,1152
2023,Carlos Enrique,Male,1146
2023,Andrés Felipe,Male,1141
2023,Luis Eduardo,Male,1135
2023,Rachid,Male,1129
2023,Hassan,Male,1116
2023,Antonio Jesús,Male,1111
2023,Manuel Jesús,Male,1108
2023,Fernando José,Male,1107
2023,Rufino,Male,1103
2023,Mikel,Male,1099
2023,Fidel,Male,1097
2023,Saturnino,Male,1084
2023,Juan Ángel,Male,1083
2023,Claudio,Male,1078
2023,Pelayo,Male,1078
2023,Carlos José,Male,1077
2023,Roberto Carlos,Male,1071
2023,Marcelo,Male,1065
2023,Emilio José,Male,1056
2023,Dylan,Male,1053
2023,Luis Felipe,Male,1051
2023,Nicolae,Male,1050
2023,Damián,Male,1046
2023,Florín,Male,1045
2023,Pedro Manuel,Male,1043
2023,Antonio Manuel,Male,1033
2023,Josué,Male,1027
2023,Cesar Augusto,Male,1024
2023,Luis Francisco,Male,1024
2023,Luciano,Male,1015
2023,Paulino,Male,1009
2023,Luis Alfonso,Male,1003
2023,Jesús Antonio,Male,991
2023,Carlos Andrés,Male,989
2023,Francisco Antonio,Male,988
2023,Iñaki,Male,985
2023,Rayan,Male,985
2023,Carlos Eduardo,Male,978
2023,Juan Alberto,Male,976
2023,Juan María,Male,960
2023,Liam,Male,954
2023,Manuel Antonio,Male,948
2023,Amador,Male,944
2023,Gustavo Adolfo,Male,943
2023,Alexandru,Male,931
2023,Jon,Male,927
2023,Luis María,Male,920
2023,Ibrahim,Male,915
2023,Jairo,Male,915
2023,Ángel Manuel,Male,914
2023,Ayoub,Male,914
2023,Marc,Male,914
2023,Manuel Ángel,Male,911
2023,Hamza,Male,905
2023,Pascual,Male,898
2023,Juan Bautista,Male,894
2023,Mihai,Male,888
2023,Ezequiel,Male,875
2023,Blas,Male,873
2023,Rodolfo,Male,873
2023,Juan Sebastián,Male,868
2023,Yeray,Male,868
2023,Francisco Jesús,Male,866
2023,Bilal,Male,856
2023,Alberto José,Male,854
2023,José Joaquín,Male,854
2023,Ildefonso,Male,850
2023,Mustapha,Male,849
2023,Victor Hugo,Male,846
2023,Manuel Alejandro,Male,827
2023,Alan,Male,824
2023,Clemente,Male,820
2023,Alexis,Male,816
2023,Noah,Male,815
2023,José Alejandro,Male,814
2023,Basilio,Male,812
2023,Daniel Alejandro,Male,803
2023,Bosco,Male,792
2023,Fabián,Male,791
2023,Serafín,Male,788
2023,Khalid,Male,786
2023,Lucio,Male,785
2023,José Juan,Male,782
2023,Carlos Antonio,Male,777
2023,Manuel José,Male,768
2023,Jesús Alberto,Male,764
2023,Anas,Male,762
2023,Iago,Male,760
2023,Stefan,Male,760
2023,Alejandro José,Male,758
2023,León,Male,751
2023,Juan Camilo,Male,750
2023,Feliciano,Male,749
2023,Antonio Javier,Male,742
2023,Jorge Juan,Male,735
2023,Segundo,Male,732
2023,Juan Dios,Male,731
2023,Hilario,Male,728
2023,Rogelio,Male,724
2023,Anastasio,Male,723
2023,Marcial,Male,721
2023,Victor José,Male,718
2023,Hernán,Male,717
2023,Diego Fernando,Male,716
2023,Alessandro,Male,715
2023,Dumitru,Male,714
2023,Eduardo José,Male,714
2023,Hicham,Male,711
2023,Modesto,Male,711
2023,Pablo José,Male,710
2023,Noel,Male,703
2023,Francisco Asís,Male,702
2023,Amir,Male,701
2023,Cayetano,Male,700
2023,Emmanuel,Male,698
2023,Celestino,Male,693
2023,Ionel,Male,693
2023,Karim,Male,688
2023,Diego Alejandro,Male,687
2023,Francisco Miguel,Male,687
2023,Leopoldo,Male,686
2023,Néstor,Male,685
2023,Eladio,Male,684
2023,Edgar,Male,675
2023,José Pablo,Male,673
2023,Gorka,Male,669
2023,Marius,Male,667
2023,José Félix,Male,662
2023,Cecilio,Male,659
2023,Luis Alejandro,Male,657
2023,Ander,Male,655
2023,Raimundo,Male,652
2023,José Gabriel,Male,650
2023,José Gregorio,Male,650
2023,Pedro Javier,Male,650
2023,Antonio Luis,Male,649
2023,Demetrio,Male,649
2023,Oleksandr,Male,646
2023,Patricio,Male,645
2023,Constantino,Male,644
2023,Juan Vicente,Male,641
2023,Michael,Male,635
2023,Jesús Miguel,Male,625
2023,Maximiliano,Male,624
2023,Teo,Male,621
2023,Volodymyr,Male,618
2023,Juan Fernando,Male,617
2023,Carlos Daniel,Male,614
2023,Luis José,Male,614
2023,Jorge Antonio,Male,613
2023,Andrei,Male,612
2023,Avelino,Male,610
2023,Rubén Darío,Male,610
2023,Aníbal,Male,603
2023,Fernando Javier,Male,603
2023,Teófilo,Male,602
2023,Vidal,Male,602
2023,Abdeslam,Male,600
2023,Robert,Male,600
2023,Jesús Javier,Male,594
2023,Erick,Male,592
2023,Pedro Jesús,Male,592
2023,Valeriano,Male,590
2023,Pedro Miguel,Male,589
2023,Luis Alfredo,Male,582
2023,José Pedro,Male,580
2023,Miguel Antonio,Male,577
2023,Axel,Male,576
2023,Carlos Luis,Male,574
2023,Camilo,Male,572
2023,Tristán,Male,570
2023,Igor,Male,568
2023,Viorel,Male,564
2023,Jamal,Male,563
2023,Cesáreo,Male,562
2023,Jorge Enrique,Male,560
2023,Juan Enrique,Male,560
2023,Jorge Alberto,Male,559
2023,Cipriano,Male,557
2023,José Rafael,Male,556
2023,José Raúl,Male,556
2023,Luis Mariano,Male,555
2023,Luis Ignacio,Male,554
2023,Abdellah,Male,552
2023,Abdelaziz,Male,551
2023,Ionut,Male,551
2023,Carlos Miguel,Male,550
