Year,District,Neighborhood,Gender,Number
2018,Vicálvaro,Vicálvaro,male,220
2018,Vicálvaro,Casco Histórico de Vicálvaro,male,115
2018,Vicálvaro,Valdebernardo,male,31
2018,Vicálvaro,Valderrivas,male,59
2018,Vicálvaro,El Cañaveral,male,15
2018,San Blas-Canillejas,San Blas-Canillejas,male,598
2018,San Blas-Canillejas,Simancas,male,122
2018,San Blas-Canillejas,Hellín,male,44
2018,San Blas-Canillejas,Amposta,male,39
2018,San Blas-Canillejas,Arcos,male,87
2018,San Blas-Canillejas,Rosas,male,81
2018,San Blas-Canillejas,Rejas,male,87
2018,San Blas-Canillejas,Canillejas,male,104
2018,San Blas-Canillejas,El Salvador,male,34
2018,Barajas,Barajas,male,213
2018,Barajas,Alameda de Osuna,male,65
2018,Barajas,Aeropuerto,male,12
2018,Barajas,Casco Histórico de Barajas,male,35
2018,Barajas,Timón,male,59
2018,Barajas,Corralejos,male,42
2018,Centro,Centro,female,425
2018,Centro,Palacio,female,62
2018,Centro,Embajadores,female,144
2018,Centro,Cortes,female,45
2018,Centro,Justicia,female,62
2018,Centro,Universidad,female,91
2018,Centro,Sol,female,21
2018,Arganzuela,Arganzuela,female,612
2018,Arganzuela,Imperial,female,80
2018,Arganzuela,Acacias,female,117
2018,Arganzuela,Chopera,female,95
2018,Arganzuela,Legazpi,female,109
2018,Arganzuela,Delicias,female,114
2018,Arganzuela,Palos de la Frontera,female,89
2018,Arganzuela,Atocha,female,8
2018,Retiro,Retiro,female,455
2018,Retiro,Pacífico,female,114
2018,Retiro,Adelfas,female,72
2018,Retiro,Estrella,female,84
2018,Retiro,Ibiza,female,78
2018,Retiro,Los Jerónimos,female,29
2018,Retiro,Niño Jesús,female,78
2018,Salamanca,Salamanca,female,601
2018,Salamanca,Recoletos,female,81
2018,Salamanca,Goya,female,125
2018,Salamanca,Fuente del Berro,female,83
2018,Salamanca,Guindalera,female,129
2018,Salamanca,Lista,female,99
2018,Salamanca,Castellana,female,84
2018,Chamartín,Chamartín,female,681
2018,Chamartín,El Viso,female,84
2018,Chamartín,Prosperidad,female,164
2018,Chamartín,Ciudad Jardín,female,92
2018,Chamartín,Hispanoamérica,female,153
2018,Chamartín,Nueva España,female,125
2018,Chamartín,Castilla,female,63
2018,Tetuán,Tetuán,female,680
2018,Tetuán,Bellas Vistas,female,126
2018,Tetuán,Cuatro Caminos,female,130
2018,Tetuán,Castillejos,female,84
2018,Tetuán,Almenara,female,90
2018,Tetuán,Valdeacederas,female,146
2018,Tetuán,Berruguete,female,104
2018,Chamberí,Chamberí,female,546
2018,Chamberí,Gaztambide,female,74
2018,Chamberí,Arapiles,female,93
2018,Chamberí,Trafalgar,female,94
2018,Chamberí,Almagro,female,83
2018,Chamberí,Ríos Rosas,female,125
2018,Chamberí,Vallehermoso,female,77
2018,Fuencarral-ElPardo,Fuencarral-ElPardo,female,1179
2018,Fuencarral-ElPardo,El Pardo,female,11
2018,Fuencarral-ElPardo,Fuentelarreina,female,15
2018,Fuencarral-ElPardo,Peñagrande,female,149
2018,Fuencarral-ElPardo,Pilar,female,177
2018,Fuencarral-ElPardo,La Paz,female,116
2018,Fuencarral-ElPardo,Valverde,female,363
2018,Fuencarral-ElPardo,Mirasierra,female,207
2018,Fuencarral-ElPardo,El Goloso,female,141
2018,Moncloa-Aravaca,Moncloa-Aravaca,female,445
2018,Moncloa-Aravaca,Casa de Campo,female,48
2018,Moncloa-Aravaca,Argüelles,female,73
2018,Moncloa-Aravaca,Ciudad Universitaria,female,52
2018,Moncloa-Aravaca,Valdezarza,female,111
2018,Moncloa-Aravaca,Valdemarín,female,47
2018,Moncloa-Aravaca,El Plantío,female,13
2018,Moncloa-Aravaca,Aravaca,female,101
2018,Latina,Latina,female,841
2018,Latina,Los Cármenes,female,72
2018,Latina,Puerta del Ángel,female,153
2018,Latina,Lucero,female,129
2018,Latina,Aluche,female,204
2018,Latina,Campamento,female,80
2018,Latina,CuatroVientos,female,34
2018,Latina,Águilas,female,169
2018,Carabanchel,Carabanchel,female,1020
2018,Carabanchel,Comillas,female,90
2018,Carabanchel,Opañel,female,138
2018,Carabanchel,San Isidro,female,160
2018,Carabanchel,Vista Alegre,female,167
2018,Carabanchel,Puerta Bonita,female,151
2018,Carabanchel,Buenavista,female,200
2018,Carabanchel,Abrantes,female,114
