PROTECCION_ACTUAL;PROTECCION_97;NOMBRE;C_HOMOGENEO;OBSERVACION;EXPEDIENTE;ENLACE;COD_NDP;UTMX_ETRS;UTMY_ETRS;N_CATALOGO
Parcial;Parcial;---;---;---;---;---;11041671;441241.51;4476831.02;13436
Parcial;Parcial;---;---;---;---;---;11041670;441240.22;4476814.91;13437
Parcial;Parcial;---;X;---;---;---;11041648;441176.14;4476760.54;13442
Parcial;Parcial;---;X;---;---;---;11041647;441140.19;4476763.13;13443
Parcial;Parcial;---;X;---;---;---;11041659;441114.65;4476786.19;13444
Parcial;Parcial;---;---;---;---;---;11041895;440589.68;4476776.65;13445
Parcial;Parcial;---;---;---;---;---;11041874;440615.23;4476782.7;13446
Ambiental;Ambiental;---;---;---;---;---;11041875;440629.63;4476781.64;13447
Ambiental;Ambiental;---;---;---;---;---;11041876;440640.39;4476780.89;13448
Parcial;Parcial;---;---;---;---;---;11041878;440667.67;4476778.91;13450
Parcial;Parcial;---;---;---;---;---;11041889;440687.1;4476769.75;13451
Parcial;Parcial;---;---;---;---;---;11041888;440685.66;4476749.68;13452
Parcial;Parcial;---;---;---;---;---;11041887;440684.85;4476738.87;13453
Parcial;Parcial;---;---;---;---;---;11041885;440682.56;4476707.35;13454
Ambiental;Ambiental;---;---;---;---;---;11041883;440671.66;4476673.28;13455
Parcial;Parcial;---;---;---;---;---;11041882;440655.29;4476674.46;13456
Ambiental;Ambiental;---;---;---;---;---;11041881;440637.97;4476675.72;13457
Parcial;Parcial;---;---;---;---;---;11041890;440621.97;4476677.9;13458
Parcial;Parcial;---;---;---;---;---;11041893;440601.0;4476741.24;13461
Ambiental;Ambiental;---;---;---;---;---;11041894;440593.99;4476763.23;13462
Parcial;Parcial;---;---;---;---;---;11041864;440704.88;4476766.27;13463
Parcial;Parcial;---;---;---;---;---;11041846;440731.04;4476774.29;13464
Ambiental;Ambiental;---;---;---;---;---;11041847;440746.4;4476773.19;13465
Parcial;Parcial;---;---;---;---;---;11041872;440760.35;4476742.72;13467
Parcial;Parcial;---;---;---;---;---;11041871;440758.27;4476731.4;13468
Parcial;Parcial;---;---;---;---;---;11041854;440741.32;4476668.43;13470
Parcial;Parcial;---;---;---;---;---;11041853;440724.31;4476669.78;13471
Parcial;Parcial;---;---;---;---;---;11041852;440707.84;4476671.06;13472
Parcial;Parcial;---;---;---;---;---;11041858;440699.35;4476692.66;13473
Parcial;Parcial;---;---;---;---;---;11041859;440700.1;4476702.54;13474
Parcial;Parcial;---;---;---;---;---;11041860;440701.7;4476723.89;13475
Parcial;Parcial;---;---;---;---;---;11041861;440702.83;4476739.16;13476
Parcial;Parcial;---;---;---;---;---;11041862;440703.57;4476748.25;13477
Parcial;Parcial;---;---;---;---;---;11041851;440812.77;4476768.41;13480
Parcial;Parcial;---;---;---;---;---;11041845;440817.21;4476748.51;13481
Ambiental;Ambiental;---;---;---;---;---;11041844;440816.3;4476735.89;13482
Parcial;Parcial;---;---;---;---;---;11041843;440815.48;4476724.53;13483
Parcial;Parcial;---;---;---;---;---;11041842;440814.49;4476710.69;13484
Parcial;Parcial;---;---;---;---;---;11041841;440813.22;4476693.04;13485
Parcial;Parcial;---;---;---;---;---;11041840;440811.73;4476672.4;13486
Parcial;Parcial;---;---;---;---;---;11041857;440795.08;4476664.39;13487
Parcial;Parcial;---;---;---;---;---;11041856;440782.1;4476665.33;13488
Parcial;Parcial;---;---;---;---;---;11041855;440765.44;4476666.53;13489
Parcial;Parcial;---;---;---;---;---;11041866;440763.98;4476707.41;13491
Parcial;Parcial;---;---;---;---;---;11041867;440765.47;4476715.46;13492
Parcial;Parcial;---;---;---;---;---;11041868;440768.17;4476730.01;13493
Parcial;Parcial;---;---;---;---;---;11041869;440771.17;4476746.25;13494
Parcial;Parcial;---;---;---;---;---;11041712;440836.59;4476761.03;13495
Parcial;Parcial;---;---;---;---;---;20014478;440851.33;4476765.69;13496
Ambiental;Ambiental;---;---;---;---;---;11041721;440862.74;4476764.86;13497
Ambiental;Ambiental;---;---;---;---;---;11041722;440877.54;4476763.36;13498
Parcial;Parcial;---;---;---;---;---;11041735;440945.17;4476747.97;13500
Parcial;Parcial;Minister.Asuntos Sociales;---;---;---;---;11041733;440878.27;4476658.68;13501
Parcial;Parcial;Instituto radiológico;---;---;---;---;11041612;441087.67;4476665.9;13507
Parcial;Parcial;---;---;---;---;---;11041619;441076.32;4476644.36;13508
Parcial;Parcial;---;---;---;---;---;11041618;441063.75;4476645.33;13509
Estructural;Estructural;---;---;---;---;---;11041617;441043.17;4476646.66;13510
Estructural;Estructural;---;---;---;---;---;11041616;441011.51;4476648.82;13511
Ambiental;Ambiental;---;---;---;---;---;11041597;441112.52;4476746.02;13516
Ambiental;Ambiental;---;---;---;---;---;11041598;441132.68;4476745.5;13517
Ambiental;Ambiental;---;---;---;---;---;11041599;441147.88;4476744.42;13518
Ambiental;Ambiental;---;---;---;---;---;11041601;441178.07;4476742.27;13520
Ambiental;Ambiental;---;---;---;---;---;11041603;441210.25;4476739.98;13523
Parcial;Parcial;Hotel Zurbano;---;---;---;---;11041642;441232.58;4476716.8;13524
Ambiental;Ambiental;---;---;---;---;---;11041629;441154.64;4476704.56;13526
Ambiental;Ambiental;---;---;---;---;---;11041628;441135.05;4476706.09;13527
Ambiental;Ambiental;---;---;---;---;---;11041611;441109.08;4476716.3;13528
Parcial;Parcial;---;---;---;---;---;11041610;441107.02;4476687.03;13529
Parcial;Parcial;---;---;---;---;---;11041626;441167.32;4476690.46;13531
Estructural;Estructural;---;---;---;---;---;11041621;441136.64;4476640.15;13536
Parcial;Parcial;---;---;---;---;---;11041620;441104.7;4476643.52;13537
Parcial;Parcial;---;---;---;---;---;11041640;441251.29;4476727.93;13539
Estructural;Estructural;Empresa Nacional Bazán;---;---;---;---;11041607;441361.93;4476665.04;13544
Estructural;Estructural;---;---;---;---;---;20151192;441357.22;4476637.02;13545
Ambiental;Ambiental;---;---;---;---;---;11041644;441262.16;4476630.58;13548
Estructural;Estructural;EDIFICIO DE OFICINAS;---;---;---;---;11014055;441567.77;4475630.78;13801
Parcial;Parcial;EDIFICIO DE OFICINAS;---;---;---;---;11014082;441605.0;4475629.22;13802
Estructural;Estructural;---;---;---;---;---;11014101;441681.84;4475518.77;13806
Parcial;Parcial;---;---;---;---;---;11014100;441679.57;4475503.15;13807
Parcial;Parcial;---;---;---;---;---;11014042;441638.39;4475490.25;13808
Estructural;Estructural;---;---;---;---;---;11014041;441613.83;4475491.92;13809
Integral;Integral;---;---;---;---;---;11014040;441588.74;4475493.67;13810
Parcial;Parcial;I.C.E.X.;---;---;---;---;11014052;441542.27;4475512.96;13811
Estructural;Estructural;---;---;---;---;---;11014053;441547.35;4475537.67;13812
Estructural;Estructural;---;---;---;---;---;11014094;441727.85;4475605.09;13814
Parcial;Parcial;---;---;---;---;---;11014070;441760.07;4475618.82;13815
Parcial;Parcial;---;---;---;---;---;11014071;441778.7;4475617.46;13816
Estructural;Estructural;---;---;---;---;---;11014065;441792.76;4475540.88;13821
Parcial;Parcial;---;---;---;---;---;11014064;441790.77;4475523.85;13822
Estructural;Estructural;---;---;---;---;---;11014091;441716.63;4475528.24;13823
Parcial;Parcial;---;---;---;---;---;11014063;441789.27;4475511.33;13824
Parcial;Parcial;---;---;---;---;---;11014046;441775.26;4475480.58;13825
Estructural;Estructural;---;---;---;---;---;11014044;441725.24;4475484.03;13827
Parcial;Parcial;---;---;---;---;---;11014092;441720.23;4475552.27;13828
Parcial;Parcial;EDIFICIO DE OFICINAS;---;---;---;---;11014093;441725.67;4475590.01;13829
Parcial;Parcial;---;---;---;---;---;11014203;441830.77;4475613.63;13830
Parcial;Parcial;---;---;---;---;---;11014205;441848.93;4475612.17;13831
Parcial;Parcial;---;---;---;---;---;20148505;441864.58;4475610.96;13832
Estructural;Estructural;---;---;---;---;---;11014224;441884.55;4475538.48;13834
Parcial;Parcial;---;---;---;---;---;11014222;441880.89;4475500.98;13836
Parcial;Parcial;---;---;---;---;---;11014185;441869.26;4475473.14;13837
Parcial;Parcial;---;---;---;---;---;11014184;441855.05;4475474.36;13838
Estructural;Estructural;---;---;---;---;---;11014183;441840.74;4475475.61;13839
Parcial;Parcial;---;---;---;---;---;11014182;441816.52;4475477.16;13840
Estructural;Estructural;---;---;---;---;---;11014191;441806.91;4475506.54;13841
Parcial;Parcial;---;---;---;---;---;11014192;441809.0;4475523.35;13842
Parcial;Parcial;---;---;---;---;---;11014193;441811.35;4475542.51;13843
Estructural;Estructural;---;---;---;---;---;11014194;441812.69;4475553.45;13844
Estructural;Estructural;---;---;---;---;---;11014196;441814.96;4475571.95;13845
Parcial;Parcial;---;---;---;---;---;11014198;441817.01;4475588.4;13846
Parcial;Parcial;---;---;---;---;---;11014200;441818.13;4475598.22;13847
Parcial;Parcial;---;---;---;---;---;11014219;441907.81;4475592.7;13848
Estructural;Estructural;---;---;---;---;---;11014230;441979.39;4475591.12;13850
Estructural;Estructural;---;---;---;---;---;11014229;441977.13;4475558.72;13851
Estructural;Estructural;---;---;---;---;---;11014228;441975.12;4475530.5;13852
Integral;Integral;---;---;---;---;---;11014227;441973.16;4475503.19;13853
Estructural;Estructural;---;---;---;---;---;11014226;441971.32;4475477.5;13854
Estructural;Estructural;---;---;---;---;---;11014187;441928.51;4475469.68;13855
Estructural;Estructural;---;---;---;---;---;11014213;441897.14;4475483.09;13856
Ambiental;Ambiental;---;---;---;---;---;11014214;441899.6;4475508.19;13857
Parcial;Parcial;---;---;---;---;---;11014215;441901.74;4475530.15;13858
Parcial;Parcial;---;---;---;---;---;11014216;441903.64;4475549.62;13859
Parcial;Parcial;---;---;---;---;---;11014217;441905.16;4475565.14;13860
Parcial;Parcial;---;---;---;---;---;11014218;441906.52;4475579.12;13861
Parcial;Parcial;---;---;---;---;---;20148507;442031.41;4475599.03;13862
Parcial;Parcial;---;---;---;---;---;11014261;442047.26;4475597.84;13863
Estructural;Estructural;GRAN HOTEL VELAZQUEZ;---;---;---;---;11014294;442006.89;4475511.09;13875
Parcial;Parcial;---;---;---;---;---;11014298;442011.61;4475579.55;13877
Parcial;Parcial;---;---;---;---;---;11014255;442200.73;4475474.42;13885
Estructural;Estructural;---;---;---;---;---;11014254;442199.65;4475458.12;13886
Estructural;Estructural;---;---;---;---;---;11014243;442163.36;4475452.76;13887
Parcial;Parcial;---;---;---;---;---;31021592;442110.18;4475462.95;13889
Singular;Singular;Colegio Ntra. Sra. del Pilar;---;---;---;---;11014246;442221.65;4475517.12;13893
Singular;Singular;EMBAJADA DE PORTUGAL;---;---;---;---;11020182;441548.02;4476442.58;13898
Demolición total;Parcial;EDIFICIO CASTELLANA;---;PE cambio catalogacion, Parcial a Ambiental Exp 711/2008/214641 (AD 29.07.2009) ;714/2002/00602;---;11020184;441524.46;4476488.44;13899
Singular;Singular;Palacio;---;---;---;---;11020186;441514.23;4476508.83;13900
Estructural;Estructural;---;---;---;---;---;11020213;441679.21;4476567.16;13902
Parcial;Parcial;---;---;---;---;---;11020214;441706.04;4476565.5;13903
Parcial;Parcial;---;---;---;---;---;11020215;441722.04;4476564.51;13904
Parcial;Parcial;---;---;---;---;---;11020216;441740.57;4476563.45;13905
Parcial;Parcial;---;---;---;---;---;11020238;441775.66;4476550.33;13907
Parcial;Parcial;---;---;---;---;---;11020208;441732.96;4476508.9;13909
Parcial;Parcial;---;---;---;---;---;11020207;441719.86;4476502.05;13910
Parcial;Parcial;---;---;---;---;---;11020206;441706.45;4476495.06;13911
Parcial;Parcial;---;---;---;---;---;11020205;441693.17;4476488.23;13912
Parcial;Parcial;---;---;---;---;---;11020204;441679.78;4476481.38;13913
Integral;Integral;DRESDNER BANK;---;---;---;---;11020202;441616.06;4476448.07;13914
Estructural;Estructural;---;---;---;---;---;11020220;441636.32;4476530.57;13918
Parcial;Parcial;HOTEL EMPERATRIZ;---;---;---;---;11019794;441614.69;4476427.31;13921
Parcial;Parcial;---;---;---;---;---;11019795;441638.14;4476439.61;13922
Parcial;Parcial;---;---;---;---;---;11019786;441659.9;4476424.18;13923
Integral;Integral;---;---;---;---;---;11019780;441670.17;4476406.71;13924
Integral;Integral;---;---;---;---;---;11019779;441655.63;4476381.37;13925
Estructural;Estructural;---;---;---;---;---;11020198;441681.08;4476451.83;13928
Parcial;Parcial;---;---;---;---;---;11020237;441772.15;4476501.73;13932
Parcial;Parcial;---;---;---;---;---;11020234;441768.48;4476451.39;13935
Integral;Integral;PALACIO CONDE DE CEDILLO;---;---;---;---;11020191;441727.81;4476424.25;13937
Estructural;Estructural;---;---;---;---;---;11020197;441695.1;4476431.11;13938
Singular;Singular;MUSEO LAZARO GALDIANO;---;---;---;---;11020232;441802.36;4476460.73;13939
Parcial;Parcial;---;---;---;---;---;11020218;441875.76;4476553.47;13940
Estructural;Estructural;---;---;---;---;---;11020196;441859.79;4476415.04;13941
Parcial;Parcial;Edif. viviendas;---;---;---;---;11020195;441844.54;4476416.11;13942
Estructural;Estructural;---;---;---;---;---;11020231;441799.65;4476425.05;13944
Estructural;Estructural;---;---;---;---;---;11020177;441902.44;4476552.56;13945
Parcial;Parcial;---;---;---;---;---;11020178;441920.84;4476551.31;13946
Parcial;Parcial;---;---;---;---;---;11020175;441959.95;4476514.78;13950
Estructural;Estructural;---;---;---;---;---;20148570;441957.57;4476483.47;13952
Estructural;Estructural;---;---;---;---;---;11020171;441956.72;4476467.37;13953
Estructural;Estructural;---;---;---;---;---;11020170;441955.11;4476451.04;13954
Estructural;Estructural;---;---;---;---;---;11020169;441953.03;4476423.7;13955
Parcial;Parcial;---;---;---;---;---;11020167;441929.33;4476409.93;13956
Parcial;Parcial;---;---;---;---;---;11020160;441888.07;4476460.84;13959
Parcial;Parcial;---;---;---;---;---;11020162;441891.13;4476502.94;13961
Estructural;Estructural;---;---;---;---;---;11020163;441892.44;4476521.07;13962
Parcial;Parcial;---;---;---;---;---;11020147;442022.24;4476544.41;13965
Parcial;Parcial;EDIFICIO DE OFICINAS;---;---;---;---;11020156;442046.83;4476535.86;13966
Ambiental;Ambiental;---;---;---;---;---;11020155;442045.5;4476517.98;13967
Ambiental;Ambiental;---;---;---;---;---;11020154;442044.46;4476503.02;13968
Parcial;Parcial;---;---;---;---;---;11020153;442043.17;4476485.14;13969
Parcial;Parcial;---;---;---;---;---;11020152;442042.02;4476468.39;13970
Parcial;Parcial;---;---;---;---;---;11020151;442040.76;4476450.74;13971
Parcial;Parcial;---;---;---;---;---;11020150;442039.58;4476433.81;13972
Integral;Integral;---;---;---;---;---;11020149;442036.7;4476403.06;13973
Estructural;Estructural;---;---;---;---;---;11020135;442003.79;4476404.32;13974
Estructural;Estructural;---;---;---;---;---;11020137;441970.89;4476420.5;13975
Parcial;Parcial;---;---;---;---;---;11020138;441972.15;4476436.95;13976
Parcial;Parcial;---;---;---;---;---;11020139;441973.16;4476450.83;13977
Parcial;Parcial;---;---;---;---;---;11020140;441974.24;4476465.01;13978
Parcial;Parcial;---;---;---;---;---;11020141;441975.31;4476479.65;13979
Parcial;Parcial;---;---;---;---;---;11020142;441976.37;4476493.07;13980
Parcial;Parcial;---;---;---;---;---;11020143;441977.42;4476507.23;13981
Parcial;Parcial;JUZGADOS DE 1ª INSTANCIA;---;---;---;---;11020035;442112.74;4476537.84;13984
Parcial;Parcial;---;---;---;---;---;11020036;442131.49;4476536.4;13985
Ambiental;Ambiental;---;---;---;---;---;11020044;442167.95;4476525.95;13986
Ambiental;Ambiental;---;---;---;---;---;11020043;442166.68;4476509.68;13987
Ambiental;Ambiental;---;---;---;---;---;11020042;442165.33;4476492.36;13988
Parcial;Parcial;---;---;---;---;---;11020041;442163.85;4476473.46;13989
Estructural;Estructural;CENTRO UNIVERSITARIO S.P.;---;---;---;---;11020033;442125.45;4476395.71;13991
Ambiental;Ambiental;---;---;---;---;---;11020032;442106.85;4476397.15;13992
Ambiental;Ambiental;EDIFICIO VIVIENDA COLECT.;---;---;---;---;11020031;442094.49;4476398.1;13993
Parcial;Parcial;---;---;---;---;---;11020045;442070.96;4476411.86;13994
Ambiental;Ambiental;---;---;---;---;---;11020046;442071.97;4476425.95;13995
Ambiental;Ambiental;---;---;---;---;---;11020047;442073.28;4476444.3;13996
Parcial;Parcial;---;---;---;---;---;11019998;442383.02;4476509.59;14004
Ambiental;Ambiental;---;---;---;---;---;11019996;442380.0;4476469.85;14006
Ambiental;Ambiental;---;---;---;---;---;11019995;442378.64;4476452.43;14007
Ambiental;Ambiental;---;---;---;---;---;11019994;442377.31;4476434.8;14008
Estructural;Estructural;RESIDENCIA STO.TOMAS V.;---;---;---;---;11019992;442375.11;4476404.43;14010
Parcial;Parcial;---;---;---;---;---;11019986;442318.82;4476381.12;14011
Parcial;Parcial;---;---;---;---;---;11019983;442290.47;4476492.62;14016
Estructural;Estructural;BANQUE PARIBAS;---;---;---;---;20151510;441724.84;4476326.8;14018
Integral;Integral;Embajada de los EE.UU.;---;---;---;---;11019808;441751.97;4476224.94;14019
Integral;Integral;BANCO URQUIJO;---;---;---;---;11019751;441656.67;4476178.75;14028
Estructural;Estructural;---;---;---;---;---;11019783;441724.14;4476387.23;14031
Estructural;Estructural;---;---;---;---;---;11019811;441764.59;4476396.31;14032
Estructural;Estructural;---;---;---;---;---;11019810;441763.34;4476379.57;14033
Estructural;Estructural;---;---;---;---;---;11019809;441761.6;4476355.25;14034
Parcial;Parcial;---;---;---;---;---;11019782;441734.48;4476371.77;14035
Estructural;Estructural;---;---;---;---;---;20009014;441797.55;4476393.95;14036
Estructural;Estructural;---;---;---;---;---;11020124;441791.01;4476301.78;14040
Ambiental;Ambiental;---;---;---;---;---;11020125;441792.66;4476324.91;14041
Ambiental;Ambiental;---;---;---;---;---;11020126;441794.35;4476348.7;14042
Singular;Singular;Palacio;---;---;---;---;11020127;441795.83;4476371.13;14043
Parcial;Parcial;---;---;---;---;---;11020107;441909.68;4476392.99;14045
Parcial;Parcial;---;---;---;---;---;11020108;441928.08;4476391.74;14046
Ambiental;Ambiental;---;---;---;---;---;11020123;441949.77;4476377.62;14047
Parcial;Parcial;---;---;---;---;---;11020122;441948.66;4476362.09;14048
Parcial;Parcial;---;---;---;---;---;11020121;441947.49;4476346.07;14049
Singular;Singular;CONVENTO S.MARTIN PORRES;---;---;---;---;11020089;441877.6;4476322.74;14050
Parcial;Parcial;---;---;---;---;---;11020098;441930.21;4476283.03;14051
Parcial;Parcial;---;---;---;---;---;11020097;441908.37;4476284.69;14052
Ambiental;Ambiental;---;---;---;---;---;11020118;441967.74;4476378.13;14054
Ambiental;Ambiental;---;---;---;---;---;11020111;441992.28;4476387.19;14055
Estructural;Estructural;RESIDENCIA MUTILADOS G.C.;---;---;---;---;11020133;442035.14;4476370.57;14056
Parcial;Parcial;---;---;---;---;---;11020129;442030.18;4476301.16;14060
Estructural;Estructural;---;---;---;---;---;11020128;442029.41;4476290.8;14061
Parcial;Parcial;---;---;---;---;---;11020101;442000.99;4476278.15;14062
Parcial;Parcial;---;---;---;---;---;11020100;441990.14;4476278.88;14063
Demolición total;Ambiental;Vivienda Unifamiliar;---;"Resolución de licencia de demolición y sustitución de fecha 11.10.2013
Dictamen CPPHAN 14/06/2013";711/2012/22255;---;11020062;442136.57;4476376.5;14070
Parcial;Parcial;FLEMING.CENTRO MEDICO ES.;---;---;---;---;11020063;442145.46;4476376.13;14071
Parcial;Parcial;UNESPA;---;---;---;---;11020075;442152.24;4476321.52;14074
Estructural;Estructural;---;---;---;---;---;11020084;442064.92;4476326.57;14081
Estructural;Estructural;---;---;---;---;---;11020085;442066.72;4476352.01;14082
Parcial;Parcial;HOTEL BALBOA;---;---;---;---;11020010;442175.25;4476373.33;14083
Parcial;Parcial;---;---;---;---;---;11020011;442205.15;4476371.96;14084
Parcial;Parcial;---;---;---;---;---;11020012;442219.43;4476370.75;14085
Parcial;Parcial;---;---;---;---;---;11020013;442231.1;4476369.58;14086
Parcial;Parcial;---;---;---;---;---;11020014;442243.88;4476368.61;14087
Parcial;Parcial;---;---;---;---;---;11020002;442262.72;4476359.7;14088
Parcial;Parcial;---;---;---;---;---;11020001;442261.81;4476344.33;14089
Parcial;Parcial;---;---;---;---;---;11020009;442242.29;4476260.82;14092
Ambiental;Ambiental;---;---;---;---;---;11020007;442210.84;4476262.69;14094
Ambiental;Ambiental;---;---;---;---;---;11020006;442200.7;4476263.35;14095
Parcial;Parcial;---;---;---;---;---;11020005;442184.54;4476264.44;14096
Parcial;Parcial;---;---;---;---;---;11020023;442168.56;4476297.97;14098
Ambiental;Ambiental;---;---;---;---;---;11019962;442281.14;4476361.92;14101
Ambiental;Ambiental;---;---;---;---;---;11019969;442323.04;4476362.6;14103
Estructural;Estructural;---;---;---;---;---;11019978;442370.24;4476357.68;14105
Ambiental;Ambiental;---;---;---;---;---;11019975;442368.26;4476308.54;14108
Ambiental;Ambiental;---;---;---;---;---;11019973;442366.95;4476290.91;14109
Ambiental;Ambiental;---;---;---;---;---;11019972;442365.82;4476274.46;14110
Ambiental;Ambiental;---;---;---;---;---;11019966;442350.1;4476252.64;14111
Parcial;Parcial;---;---;---;---;---;11019965;442328.81;4476254.25;14112
Parcial;Parcial;---;---;---;---;---;11019963;442287.21;4476257.34;14114
Parcial;Parcial;---;---;---;---;---;11019803;441786.98;4476252.44;14119
Estructural;Estructural;---;---;---;---;---;11019763;441853.21;4476228.36;14121
Integral;Integral;C.I. COMPAÑIA DE JESUS.;---;---;---;---;11019762;441852.23;4476214.33;14122
Parcial;Parcial;Edif. viviendas;---;---;---;---;11019802;441785.88;4476234.36;14123
Parcial;Parcial;---;---;---;---;---;11019790;441936.49;4476191.88;14128
Parcial;Parcial;---;---;---;---;---;11019788;441934.66;4476162.63;14130
Parcial;Parcial;---;---;---;---;---;11019799;441908.71;4476158.62;14131
Ambiental;Ambiental;---;---;---;---;---;11019757;441866.89;4476167.88;14133
Ambiental;Ambiental;---;---;---;---;---;11019758;441867.7;4476179.28;14134
Parcial;Parcial;COLEGIO MAYOR MONTALBAN;---;---;---;---;11019847;441955.59;4476214.05;14137
Parcial;Parcial;---;---;---;---;---;11019882;442024.12;4476215.33;14140
Parcial;Parcial;---;---;---;---;---;11019858;441952.39;4476156.64;14144
Ambiental;Ambiental;---;---;---;---;---;11019844;441953.08;4476174.38;14145
Estructural;Estructural;---;---;---;---;---;11020052;442072.85;4476240.02;14148
Parcial;Parcial;---;---;---;---;---;11020053;442079.15;4476239.54;14149
Parcial;Parcial;---;---;---;---;---;11020056;442135.45;4476235.39;14152
Estructural;Estructural;---;---;---;---;---;11020072;442144.76;4476211.48;14153
Estructural;Estructural;---;---;---;---;---;11020071;442143.66;4476194.4;14154
Estructural;Estructural;---;---;---;---;---;11020068;442127.59;4476144.33;14156
Estructural;Estructural;---;---;---;---;---;11020079;442053.08;4476158.98;14160
Estructural;Estructural;---;---;---;---;---;11020080;442054.78;4476183.81;14161
Estructural;Estructural;---;---;---;---;---;11020081;442056.05;4476202.66;14162
Parcial;Parcial;---;---;---;---;---;11019927;442173.48;4476232.67;14163
Integral;Integral;IGLESIA DE OBLATOS;---;---;---;---;11019931;442252.48;4476226.9;14167
Parcial;Parcial;---;---;---;---;---;11019924;442249.38;4476145.47;14169
Parcial;Parcial;---;---;---;---;---;11019941;442224.03;4476137.07;14170
Parcial;Parcial;---;---;---;---;---;11019939;442184.59;4476140.09;14172
Parcial;Parcial;---;---;---;---;---;11019949;442159.87;4476160.04;14173
Parcial;Parcial;---;---;---;---;---;11019950;442160.61;4476178.88;14174
Parcial;Parcial;---;---;---;---;---;11019923;442271.66;4476216.89;14177
Parcial;Parcial;---;---;---;---;---;11019933;442292.18;4476224.07;14178
Parcial;Parcial;---;---;---;---;---;11019934;442304.79;4476223.01;14179
Parcial;Parcial;---;---;---;---;---;11019936;442339.45;4476220.73;14181
Parcial;Parcial;---;---;---;---;---;11019953;442356.2;4476144.97;14185
Parcial;Parcial;---;---;---;---;---;11019947;442321.48;4476129.83;14186
Ambiental;Ambiental;---;---;---;---;---;11019918;442265.99;4476137.59;14190
Parcial;Parcial;---;---;---;---;---;11019920;442268.03;4476163.98;14191
Estructural;Estructural;---;---;---;---;---;11019850;441833.7;4476146.49;14195
Parcial;Parcial;---;---;---;---;---;11019825;441844.95;4476114.33;14196
Parcial;Parcial;---;---;---;---;---;11019832;441786.33;4476056.23;14199
Estructural;Estructural;---;---;---;---;---;11019871;441775.25;4476088.42;14200
Parcial;Parcial;---;---;---;---;---;11019842;441949.76;4476129.56;14205
Parcial;Parcial;---;---;---;---;---;11019855;441978.15;4476136.01;14206
Parcial;Parcial;---;---;---;---;---;11019879;442017.27;4476123.86;14207
Demolición total;Ambiental;---;---;"Resolución de licencia de demolición y sustitución de fecha 09.05.2003
Dictamen CPPHAN 16/07/2002";714/2002/05514;---;11019878;442015.59;4476097.78;14208
Parcial;Parcial;---;---;---;---;---;11019877;442013.68;4476070.53;14209
Parcial;Parcial;---;---;---;---;---;11019836;442002.25;4476041.67;14210
Parcial;Parcial;---;---;---;---;---;11019834;441949.48;4476045.14;14212
Parcial;Parcial;---;---;---;---;---;11019840;441946.15;4476083.67;14213
Singular;Singular;Colegio de Jesús y María;---;---;---;---;11019857;442078.87;4476129.24;14215
Estructural;Estructural;---;---;---;---;---;11019874;442045.23;4476039.69;14216
Parcial;Parcial;---;---;---;---;---;11019911;442158.05;4476123.07;14217
Parcial;Parcial;---;---;---;---;---;11019917;442175.53;4476122.62;14218
Parcial;Parcial;---;---;---;---;---;11019904;442193.57;4476121.31;14219
Parcial;Parcial;---;---;---;---;---;11019906;442234.32;4476118.29;14221
Ambiental;Ambiental;---;---;---;---;---;11019894;442244.65;4476091.4;14222
Parcial;Parcial;---;---;---;---;---;11019893;442242.68;4476063.68;14223
Parcial;Parcial;---;---;---;---;---;11019892;442241.66;4476050.61;14224
Parcial;Parcial;---;---;---;---;---;11019899;442229.95;4476025.16;14225
Parcial;Parcial;---;---;---;---;---;11019898;442198.32;4476027.44;14226
Parcial;Parcial;---;---;---;---;---;11019897;442184.82;4476028.38;14227
Parcial;Parcial;---;---;---;---;---;11019909;442152.1;4476045.19;14228
Parcial;Parcial;---;---;---;---;---;11019910;442154.89;4476089.71;14231
Estructural;Estructural;---;---;---;---;---;11019746;441734.91;4475987.13;14234
Estructural;Estructural;EDIF.BLANCO Y NEGRO (ABC);---;---;---;---;20009008;441635.34;4475963.32;14235
Estructural;Estructural;---;---;---;---;---;11019744;441730.91;4475928.07;14236
Estructural;Estructural;---;---;---;---;---;11019743;441728.75;4475897.74;14237
Parcial;Parcial;---;---;---;---;---;11019741;441725.98;4475857.36;14239
Estructural;Estructural;GARAJE VILLAMEJOR;---;---;---;---;11019726;441680.82;4475850.18;14240
Integral;Integral;---;---;---;---;---;11019725;441655.71;4475851.9;14241
Integral;Integral;---;---;---;---;---;11019683;441613.23;4475858.07;14242
Estructural;Estructural;---;---;---;---;---;11019684;441619.51;4475887.79;14243
Estructural;Estructural;GRUPO ESCOLAR GRAL. MOLA;---;---;---;---;11019915;442353.38;4476108.66;14246
Parcial;Parcial;---;---;---;---;---;11019912;442348.41;4476031.19;14248
Parcial;Parcial;---;---;---;---;---;11019901;442303.49;4476019.84;14249
Parcial;Parcial;---;---;---;---;---;11019887;442258.83;4476036.79;14250
Parcial;Parcial;---;---;---;---;---;11019888;442260.91;4476065.12;14251
Parcial;Parcial;---;---;---;---;---;11019889;442262.7;4476089.01;14252
Parcial;Parcial;---;---;---;---;---;11019830;441782.22;4476023.81;14253
Parcial;Parcial;---;---;---;---;---;11019820;441834.64;4475967.56;14256
Parcial;Parcial;---;---;---;---;---;11019819;441833.8;4475955.41;14257
Parcial;Parcial;---;---;---;---;---;11019818;441833.04;4475944.51;14258
